Application_Name,Total_Volume_Mn,Total_Value_Cr
Google Pay,2712.34,440370.99
Groww,0.21,153.02
HDFC Bank Apps,11.81,3143.24
HSBC Bank Apps,0.15,78.63
ICICI Bank Apps,48.29,16125.15
IDBI Bank Apps,0.07,29.5
IDFC Bank Apps,9.7,1322.98
India Post Payments Bank Apps,5.55,682.59
Indian Bank Apps,0.25,73.71
Indian Overseas Bank Apps,0.01,2.9
IndusInd Bank Apps,1.26,1062.4
Janata Sahakari Bank Apps,0.01,4.58
Jio Payments Bank Apps,1.48,104.71
Jupiter,2.53,318.03
Karnataka Bank Apps,0.48,91.09
Karur Vysya Bank Apps,0.04,14.87
Kotak Mahindra Bank Apps,11.53,2480.18
MakeMyTrip,0.1,52.3
Mobikwik,3.62,806.82
NSDL Payments Bank Apps,0.02,2.95
Paytm Payments Bank App,1170.34,138821.66
PhonePe,3674.24,639348.78
Punjab National Bank Apps,0.22,76.7
Punjab Sind Bank Apps,0.03,10.48
RBL Bank Apps,1.1,215.3
Samsung Pay,5.49,531.12
Slash,0.01,0.79
Slice,0.15,15.74
South Indian Bank Apps,0.18,53.2
Standard Chartered Bank Apps,0.16,90.42
State Bank of India Apps,4.22,1928.43
Tamilnad Mercantile Bank Apps,0.08,12.13
TataNeu,0.15,17.64
UCO Bank Apps,0.31,93.32
Ultracash,0.03,1.65
Union Bank Apps,0.92,310.63
Utkarsh Small Finance Bank Apps,0.02,7.81
WhatsApp,11.05,917.49
Yes Bank Apps,36.16,13415.46
Others,0.03,7.64
Airtel Payments Bank Apps,7.58,2210.17
Allahabad Bank App,0.02,6.28
Amazon Pay,63.49,6044.47
AU Small Finance Bank App,0.25,89.36
Axis Bank Apps,54.78,1405.26
Bajaj Finserv,0.33,19.32
Bank of Baroda Apps,0.67,330.69
Bank of India App,0.05,21.28
Bank of Maharashtra App,0.05,12.49
BHIM,23.25,7891.86
Canara Bank App,0.26,95.78
Central Bank of India App,0.12,45.26
Citi Bank App,0.08,69.22
City Union Bank App,0.02,5.49
Cointab,1.73,280.57
Cred,10.08,13364.09
DBS Digibank App,0.46,173.63
Dena Bank App,0.02,23.93
Deutsche Bank App,0.87,70.43
Dhanlaxmi Bank App,0.01,2.83
Federal Bank App,0.55,108.21
Fino Payments bank App,0.03,3.25
Finshell Pay,0.06,3.8
Google Pay,1524.09,291273.46
HDFC Bank Apps,4.59,1370.03
HSBC Bank App,0.08,52.97
ICICI Bank Apps,30.66,8727.44
IDBI Bank App,0.02,14.6
IDFC Bank App,1.21,321.93
India Post Payments Bank App,2.21,268.9
Indian Bank App,0.11,42.07
IndusInd Bank App,0.77,1358.24
Jammu and Kashmir Bank App,0.01,3.43
Janta Sahakari Bank App,0.01,4.33
Jio Payments Bank App,1.97,111.85
Jupiter Money,1.13,140.79
Karnataka Bank App,0.25,31.35
Karur Vysya Bank App,0.04,17.17
Kotak Mahindra Bank Apps,6.91,1383.3
MakeMy Trip,0.08,33.03
MI Pay,0.25,38.46
Mobikwik,3.78,755.89
NSDL Payments Bank App,0.02,1.77
Paytm Payments Bank App,706.77,86299.22
PhonePe,2120.2,407640.11
Punjab National Bank App,0.08,43.49
Punjab Sindh Bank Apps,0.01,2.66
RBL Bank App,0.51,107.25
Samsung Pay,3.14,421.97
South Indian Bank App,0.12,38.69
Standard Chartered Bank App,0.12,64.7
State Bank of India Apps,3.38,1863.42
UCO Bank App,0.16,35.05
Ultracash,1.51,158.7
Union Bank Apps,0.35,166.72
Utkarsh Small Finance Bank,0.01,2.42
WhatsApp,2.24,207.09
Yes Bank Apps,32.17,6551.61
YuvaPay,0.05,89.7
Others,0.02,8.15
Airtel Payments Bank Apps,8.71,730.45
Allahabad Bank Apps,0.03,8.47
Amazon Pay,47.8,4981.82
AU Small Finance Bank Apps,0.55,165.07
Axis Bank Apps,51.95,1413.95
Bajaj Finserv,5.44,882.75
Bandhan Bank Apps,0.01,1.71
Bank of Baroda Apps,1.14,409.33
Bank of India Apps,0.24,68.69
Bank of Maharashtra Apps,0.07,19.02
BHIM,23.21,7158.37
Bajaj Finserv,0.01,3.43
Canara Bank Apps,1.09,284.23
Central Bank of India Apps,0.32,72.15
Citi Bank Apps,0.08,59.37
City Union Bank Apps,0.06,15.94
Cointab,0.04,16.4
Cred,36.57,17902.2
DBS Digibank Apps,0.39,161.51
Deutsche Bank Apps,1.32,118.35
Transerv,0.02,3.13
Dhanlaxmi Bank Apps,0.01,2.67
Equitas Small Finance Bank Apps,0.02,11.41
EROUTE,0.17,6.08
FamPay PPI,1.6,21.73
Fave,0.11,7.08
Federal Bank Apps,4.76,590.97
Fino Payments bank Apps,0.1,6.5
Google Pay,2639.55,424442.48
Groww,0.21,158.9
HDFC Bank Apps,11.87,3116.17
HSBC Bank Apps,0.12,73.04
ICICI Bank Apps,40.52,14831.4
IDBI Bank Apps,0.07,29.25
