,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
301,44,PhonePe,2140.28,405173.78
302,45,Punjab National Bank App,0.09,44.86
303,46,Punjab Sindh Bank App,0.01,2.87
304,47,RBL Bank App,0.43,101.45
305,48,Samsung Pay,3.17,431.07
306,49,South Indian Bank App,0.13,41.4
307,50,Standard Chartered Bank App,0.11,60.49
308,51,State Bank of India Apps,3.62,1967.05
309,52,UCO Bank App,0.16,37.26
310,53,Ultracash,2.14,177.63
311,54,Union Bank Apps,0.39,182.27
312,55,WhatsApp,2.34,205.83
313,56,Yes Bank Apps,27.59,5817.16
314,57,YuvaPay,0.05,77.12
315,58,Others,0.02,9.08
316,0,Airtel Payments Bank Apps,7.41,555.26
317,1,Allahabad Bank Apps,0.03,6.95
318,2,Amazon Pay,68.77,6751.8
319,3,AU Small Finance Bank Apps,0.42,131.49
320,4,Axis Bank Apps,53.99,1213.95
321,5,Bajaj Finserv,1.95,128.52
322,6,Bajaj Markets,0.02,1.66
323,7,Bandhan Bank Apps,0.01,1.35
324,8,Bank of Baroda Apps,0.88,354.45
325,9,Bank of India Apps,0.15,46.44
326,10,Bank of Maharashtra Apps,0.06,16.47
327,11,BHIM,24.48,7823.95
328,12,Canara Bank Apps,0.47,128.79
329,13,Central Bank of India Apps,0.22,58.37
330,14,Citi Bank Apps,0.11,63.66
331,15,City Union Bank Apps,0.03,10.19
332,16,Cointab,0.07,27.3
333,17,Cred,14.89,19716.43
334,18,DBS Digibank Apps,0.47,179.27
335,19,Deutsche Bank Apps,1.87,116.01
336,20,Dhanlaxmi Bank Apps,0.01,2.86
337,21,Equitas Small Finance Bank Apps,0.01,4.89
338,22,Fave,0.16,11.06
339,23,Federal Bank Apps,3.85,539.55
340,24,Fino Payments Bank Apps,0.06,4.26
341,25,GoIbibo,0.01,5.1
342,26,Google Pay,2130.63,366669.09
343,27,Groww,0.49,290.31
344,28,HDFC Bank Apps,9.38,2341.28
345,29,HSBC Bank Apps,0.11,68.47
346,30,ICICI Bank Apps,37.34,11509.29
347,31,IDBI Bank Apps,0.03,16.42
348,32,IDFC Bank Apps,8.28,645.34
349,33,India Post Payments Bank Apps,4.08,480.59
350,34,Indian Bank Apps,0.21,71.39
351,35,Indian Overseas Bank Apps,0.01,3.74
352,36,IndusInd Bank Apps,0.99,1652.26
353,37,Janata Sahakari Bank Apps,0.01,4.15
354,38,Jio Payments Bank Apps,1.9,116.59
355,39,Jupiter,2.1,254.14
356,40,Karnataka Bank Apps,0.35,48.01
357,41,Karur Vysya Bank Apps,0.04,15.66
358,42,Kotak Mahindra Bank Apps,8.86,1816.33
