,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,PhonePe,4461.36,745552.2
1,Google Pay,3266.83,494088
2,Paytm Payments Bank App,1307.48,162494.8
3,Cred,73.93,26431.8
4,Amazon Pay,52.89,5647.9
5,Axis Bank Apps,47.64,2231.7
6,ICICI Bank Apps,37.63,16243.7
7,Yes Bank Apps,36.46,12997.5
8,BHIM,23.11,7289
9,HDFC Bank Apps,17.56,4168.6
10,Kotak Mahindra Bank Apps,17.38,3202.5
11,WhatsApp,16,1443.3
12,Fampay,14.99,184.7
13,Bajaj Finserv,9.76,1312.6
14,Airtel Payments Bank Apps,8.84,632.2
15,IDFC Bank Apps,6.31,1540.3
16,Samsung Pay,5.61,522.8
17,Federal Bank Apps,4.86,630
18,India Post Payments Bank Apps,4.83,742.5
19,State Bank of India Apps,4.64,1959.7
20,Mobikwik,3.58,1060.4
21,Jupiter,2.96,424.8
22,Deutsche Bank Apps,1.81,125.6
23,Canara Bank Apps,1.58,462.7
24,Groww,1.45,1039.6
25,Standard Chartered Bank Apps,1.4,672.6
26,Jio Payments Bank Apps,1.35,113.2
27,RBL Bank Apps,1.29,497.9
28,Bank of Baroda Apps,1.19,427.7
29,slice,0.88,272.8
30,IndusInd Bank Apps,0.79,897.6
31,Union Bank Apps,0.79,318.9
32,Punjab National Bank Apps,0.77,169.7
33,AU Small Finance Bank Apps,0.64,196.1
34,Karnataka Bank Apps,0.61,125.9
35,OmniCard,0.48,13.9
36,Central Bank of India Apps,0.44,97.6
37,DBS Digibank Apps,0.41,166.9
38,UCO Bank Apps,0.33,107.6
39,Indian Bank Apps,0.28,81.2
40,South Indian Bank Apps,0.25,70.5
41,Bank of India Apps,0.23,71.9
42,Jupiter Edge (LivQuick PPI),0.21,11.3
43,HSBC Bank Apps,0.15,89.2
44,Fino Payments bank Apps,0.13,9.2
45,TataNeu,0.12,17.6
46,Tamilnad Mercantile Bank Apps,0.08,18.9
47,IDBI Bank Apps,0.08,34.1
48,Citi Bank Apps,0.07,54.2
49,Fave,0.07,4.6
50,Bajaj Finserv PPI ,0.07,14.3
51,PINELABS,0.07,4.2
52,City Union Bank Apps,0.06,18.3
53,Kiwi,0.05,4.1
54,Indian Overseas Bank Apps,0.05,13
55,Ultracash,0.04,3.1
56,Karur Vysya Bank Apps,0.04,14
57,MakeMyTrip,0.03,18.2
58,Punjab Sind Bank Apps,0.03,12.6
59,Dhani ,0.03,7
60,Equitas Small Finance Bank Apps,0.03,17.3
61,Allahabad Bank Apps,0.03,8.3
62,NSDL Payments Bank Apps,0.02,4.1
63,GoNiyo PPI,0.02,0.5
64,Utkarsh Small Finance Bank Apps,0.02,6.3
65,Jammu and Kashmir Bank Apps,0.01,2.4
66,Bandhan Bank Apps,0.01,3.1
67,Zomato,0.01,1.7
68,Dhanlaxmi Bank Apps,0.01,3.2
69,Bank of Maharashtra Apps,0.01,0.8
70,Others,0,11.8
0,Airtel Payments Bank Apps,10.66,761.51
1,Allahabad Bank Apps,0.03,8.33
2,Amazon Pay,50.56,5360.9
3,AU Small Finance Bank Apps,0.62,186.48
4,Axis Bank Apps,58.24,1976.67
5,Bajaj Finserv,6.7,965.35
6,Bajaj Finserv PPI,0.05,12.22
7,Bajaj Markets,0.01,0.35
8,Bandhan Bank Apps,0.01,1.5
9,Bank of America Apps,0.01,2.07
10,Bank of Baroda Apps,1.16,447.25
11,Bank of India Apps,0.23,71.14
12,Bank of Maharashtra Apps,0.06,21.29
13,BHIM,23.68,7498.24
14,Canara Bank Apps,1.39,374.43
15,Central Bank of India Apps,0.36,83.56
16,Citi Bank Apps,0.12,67.55
17,City Union Bank Apps,0.06,18.93
18,Cointab,0.04,19.07
19,Cred,42.84,21056.31
20,DBS Digibank Apps,0.41,177.88
21,Deutsche Bank Apps,1.73,187.11
22,Dhanlaxmi Bank Apps,0.01,3.21
23,Equitas Small Finance Bank Apps,0.02,13.57
24,Eroute,0.27,19.25
25,Fampay PPI,9.49,124.59
26,Fave,0.08,6.4
27,Federal Bank Apps,5.25,648.51
28,Fino Payments bank Apps,0.13,8.18
29,Google Pay,3054.44,482896.69
30,Groww,0.18,137.64
31,HDFC Bank Apps,14.22,3644.88
32,HSBC Bank Apps,0.14,89.71
33,ICICI Bank Apps,41.59,17624.14
34,IDBI Bank Apps,0.07,32.38
35,IDFC Bank Apps,14.02,3306.18
36,India Post Payments Bank Apps,4.44,667.69
37,Indian Bank Apps,0.26,92.41
38,Indian Overseas Bank Apps,0.02,4.47
39,IndusInd Bank Apps,0.93,950.35
40,Janata Sahakari Bank Apps,0.01,3.74
41,Jio Payments Bank Apps,1.68,118.72
42,Jupiter,2.66,358.12
43,Karnataka Bank Apps,0.42,91.53
44,Karur Vysya Bank Apps,0.04,15.84
45,Kotak Mahindra Bank Apps,13.77,2854.65
46,LivQuick PPI,0.01,0.64
47,MakeMyTrip,0.05,23.5
48,Mobikwik,3.64,937.98
49,NSDL Payments Bank Apps,0.03,3.47
50,Paytm Payments Bank App,1288.38,154430.4
51,PhonePe,4076.32,707410.47
52,Punjab National Bank Apps,0.43,110.59
53,Punjab Sind Bank Apps,0.04,13.74
54,RBL Bank Apps,1.88,545.98
55,Samsung Pay,5.68,528.09
56,South Indian Bank Apps,0.22,66.08
57,Standard Chartered Bank Apps,0.15,94.14
58,State Bank of India Apps,4.36,2011.65
59,Tamilnad Mercantile Bank Apps,0.07,12.42
60,TataNeu,0.12,15
61,Transerv PPI,0.06,8.11
62,UCO Bank Apps,0.36,116.66
63,Ultracash,0.04,2.61
64,Union Bank Apps,0.75,310.24
65,Utkarsh Small Finance Bank Apps,0.02,6.35
66,WhatsApp,13.35,1144.76
67,Yes Bank Apps,31.47,10093.9
68,Others,0.02,5.18
0,Airtel Payments Bank Apps,9.17,627.17
1,Allahabad Bank Apps,0.03,8.87
2,Amazon Pay,57.08,5772.68
3,AU Small Finance Bank Apps,0.65,193.87
4,Axis Bank Apps,47.38,1916.44
5,Bajaj Finserv,9.12,1189.82
6,Bank of Baroda Apps,1.11,412.03
7,Bank of India Apps,0.22,69.87
8,BHIM,22.96,7209.87
9,BPAYWALLET,0.06,9.65
10,Canara Bank Apps,1.48,431.27
11,Central Bank of India Apps,0.43,95.58
12,Citi Bank Apps,0.09,55.38
13,City Union Bank Apps,0.06,20.02
14,Cointab,0.01,4.24
15,Cred,61.04,23426.74
16,DBS Digibank Apps,0.42,174.75
17,Deutsche Bank Apps,1.89,174.27
18,DHANI,0.04,7.55
19,Dhanlaxmi Bank Apps,0.01,2.93
20,Equitas Small Finance Bank Apps,0.03,16.31
21,FAM,13.78,166.5
22,Fave,0.02,1.68
23,Federal Bank Apps,5.12,643.62
24,Fino Payments bank Apps,0.09,6.6
25,Google Pay,3274.69,497748.17
26,Groww,0.47,287.97
27,HDFC Bank Apps,16.07,3982.69
28,HSBC Bank Apps,0.14,87.5
29,ICICI Bank Apps,43.92,17101.09
30,IDBI Bank Apps,0.08,34.64
31,IDFC Bank Apps,8.56,1696.01
32,India Post Payments Bank Apps,5.04,775.77
33,Indian Bank Apps,0.28,84.07
34,Indian Overseas Bank Apps,0.04,10.5
35,IndusInd Bank Apps,0.81,886.1
36,Jammu and Kashmir Bank Apps,0.01,2
37,Jio Payments Bank Apps,1.56,119.8
38,Jupiter,2.94,415.04
39,Akudo & Muvin (Livquik),0.18,6.62
40,Karnataka Bank Apps,0.63,127.13
41,Karur Vysya Bank Apps,0.04,13.65
42,Kotak Mahindra Bank Apps,16.31,3139.05
43,MakeMyTrip,0.02,8.01
44,Mobikwik,3.59,997.92
45,NSDL Payments Bank Apps,0.02,3.28
46,OMNI,0.39,10.1
47,Paytm Payments Bank App,1342.28,164843.79
48,PhonePe,4499.2,757276.68
49,PINELABS,0.06,3.25
50,Punjab National Bank Apps,1.1,177.69
51,Punjab Sind Bank Apps,0.04,13.71
52,RBL Bank Apps,1.24,489.36
53,RBLBANK,0.01,0.06
54,Samsung Pay,5.83,535.16
55,slice,0.83,194.68
56,South Indian Bank Apps,0.25,71.46
57,Standard Chartered Bank Apps,0.15,91.48
