,Application_Name,Total_Volume_Mn,Total_Value_Cr
810,Karur Vysya Bank Apps,0.04,15.27
811,Kotak Mahindra Bank Apps,12.14,2612.6
812,MakeMyTrip,0.08,35.59
813,Mobikwik,3.49,785.48
814,NSDL Payments Bank Apps,0.02,3
815,Paytm Payments Bank App,1190.89,139673
816,PhonePe,3802.67,651108.51
817,Punjab National Bank Apps,0.25,82.15
818,Punjab Sind Bank Apps,0.04,13.08
819,RBL Bank Apps,1.32,242.88
820,Samsung Pay,5.52,523.73
821,Slash,0.01,0.68
822,slice,0.22,45.82
823,South Indian Bank Apps,0.19,56.75
824,Standard Chartered Bank Apps,0.15,85.16
825,State Bank of India Apps,4.06,1901.92
826,Tamilnad Mercantile Bank Apps,0.07,11.67
827,TataNeu,0.11,14.79
828,Transerv,0.01,0.71
829,UCO Bank Apps,0.32,101.06
830,Ultracash,0.04,2.25
831,Union Bank Apps,0.8,303.93
832,Utkarsh Small Finance Bank Apps,0.02,8.35
833,WhatsApp,11.47,963.12
834,Yes Bank Apps,33.96,12116.61
835,Others,0.02,5.57
836,PhonePe,4743.66,761247.87
837,Google Pay,3494.64,518095.1
838,Paytm Payments Bank App,1393.66,170767.35
839,Cred,80.34,30999.71
840,Axis Bank Apps,64.3,3217.03
841,Amazon Pay,57.6,6163.84
842,ICICI Bank Apps,35.92,17770.37
843,Yes Bank Apps,32.01,11502.79
844,BHIM,24.94,8244.91
845,Kotak Mahindra Bank Apps,18.56,3480.6
846,WhatsApp,17.84,1598.67
847,HDFC Bank Apps,17.77,4410.51
848,Fampay,16.79,206.43
849,Bajaj Finserv,12.11,1740.97
850,Airtel Payments Bank Apps,9.65,666.04
851,Samsung Pay,5.81,544.13
852,India Post Payments Bank Apps,5.43,587.75
853,Federal Bank Apps,5.19,665.11
854,State Bank of India Apps,5.01,2095.15
855,IDFC Bank Apps,4.17,1121.41
856,Standard Chartered Bank Apps,4.14,2129.38
857,Mobikwik,3.79,1140.63
858,Jupiter,3.27,466.39
859,Groww,2.81,2075.98
860,Deutsche Bank Apps,1.83,175.52
861,Canara Bank Apps,1.73,514.02
862,Kiwi,1.53,52.51
863,Bank of Baroda Apps,1.34,477.16
864,Jio Payments Bank Apps,1.34,114.12
865,RBL Bank Apps,1.28,529.58
866,slice,0.94,301
867,Union Bank Apps,0.88,349.19
868,IndusInd Bank Apps,0.84,723.32
869,Punjab National Bank Apps,0.79,181.5
870,AU Small Finance Bank Apps,0.68,209.86
871,Omnicard,0.62,19.49
872,Karnataka Bank Apps,0.61,124.34
873,DBS Digibank Apps,0.44,179.72
874,Central Bank of India Apps,0.44,97.75
875,UCO Bank Apps,0.36,116.31
876,Indian Bank Apps,0.31,92.64
877,South Indian Bank Apps,0.25,73.83
878,Bank of India Apps,0.25,78.83
879,Fino Payments bank Apps,0.17,13.36
880,HSBC Bank Apps,0.16,96.52
881,Fave,0.12,7.56
882,Bajaj Finserv PPI,0.11,25.8
883,TataNeu,0.1,16.7
884,Tamilnad Mercantile Bank Apps,0.1,23.5
885,IDBI Bank Apps,0.07,37.4
886,Citi Bank Apps,0.07,61.36
887,Ultracash,0.07,5.01
888,City Union Bank Apps,0.07,20.96
889,Indian Overseas Bank Apps,0.07,18.01
890,Karur Vysya Bank Apps,0.04,16.34
891,MakeMyTrip,0.04,19.92
892,Dhani,0.03,7.81
893,Equitas Small Finance Bank Apps,0.03,18.9
894,Bank of Maharashtra Apps,0.03,5.66
895,Allahabad Bank Apps,0.03,8.73
896,Punjab Sind Bank Apps,0.03,12.72
897,NSDL Payments Bank Apps,0.03,4.56
898,Utkarsh Small Finance Bank Apps,0.02,6.24
899,Mobikwik PPI,0.02,3.63
900,Jammu and Kashmir Bank Apps,0.01,2.29
901,Zomato,0.01,0.66
902,Dhanlaxmi Bank Apps,0.01,2.87
903,Bandhan Bank Apps,0.01,0.98
904,Shriram ,0.01,0.21
905,Others,0.03,11.05
906,PhonePe,4461.36,745552.2
907,Google Pay,3266.83,494088
908,Paytm Payments Bank App,1307.48,162494.8
909,Cred,73.93,26431.8
910,Amazon Pay,52.89,5647.9
911,Axis Bank Apps,47.64,2231.7
912,ICICI Bank Apps,37.63,16243.7
913,Yes Bank Apps,36.46,12997.5
914,BHIM,23.11,7289
915,HDFC Bank Apps,17.56,4168.6
916,Kotak Mahindra Bank Apps,17.38,3202.5
917,WhatsApp,16,1443.3
918,Fampay,14.99,184.7
919,Bajaj Finserv,9.76,1312.6
920,Airtel Payments Bank Apps,8.84,632.2
921,IDFC Bank Apps,6.31,1540.3
922,Samsung Pay,5.61,522.8
923,Federal Bank Apps,4.86,630
924,India Post Payments Bank Apps,4.83,742.5
925,State Bank of India Apps,4.64,1959.7
926,Mobikwik,3.58,1060.4
927,Jupiter,2.96,424.8
928,Deutsche Bank Apps,1.81,125.6
929,Canara Bank Apps,1.58,462.7
930,Groww,1.45,1039.6
931,Standard Chartered Bank Apps,1.4,672.6
932,Jio Payments Bank Apps,1.35,113.2
933,RBL Bank Apps,1.29,497.9
934,Bank of Baroda Apps,1.19,427.7
935,slice,0.88,272.8
936,IndusInd Bank Apps,0.79,897.6
937,Union Bank Apps,0.79,318.9
938,Punjab National Bank Apps,0.77,169.7
939,AU Small Finance Bank Apps,0.64,196.1
940,Karnataka Bank Apps,0.61,125.9
941,OmniCard,0.48,13.9
942,Central Bank of India Apps,0.44,97.6
943,DBS Digibank Apps,0.41,166.9
944,UCO Bank Apps,0.33,107.6
945,Indian Bank Apps,0.28,81.2
946,South Indian Bank Apps,0.25,70.5
947,Bank of India Apps,0.23,71.9
948,Jupiter Edge (LivQuick PPI),0.21,11.3
949,HSBC Bank Apps,0.15,89.2
950,Fino Payments bank Apps,0.13,9.2
951,TataNeu,0.12,17.6
952,Tamilnad Mercantile Bank Apps,0.08,18.9
953,IDBI Bank Apps,0.08,34.1
954,Citi Bank Apps,0.07,54.2
955,Fave,0.07,4.6
956,Bajaj Finserv PPI ,0.07,14.3
957,PINELABS,0.07,4.2
958,City Union Bank Apps,0.06,18.3
959,Kiwi,0.05,4.1
960,Indian Overseas Bank Apps,0.05,13
961,Ultracash,0.04,3.1
962,Karur Vysya Bank Apps,0.04,14
963,MakeMyTrip,0.03,18.2
964,Punjab Sind Bank Apps,0.03,12.6
965,Dhani ,0.03,7
966,Equitas Small Finance Bank Apps,0.03,17.3
967,Allahabad Bank Apps,0.03,8.3
968,NSDL Payments Bank Apps,0.02,4.1
969,GoNiyo PPI,0.02,0.5
970,Utkarsh Small Finance Bank Apps,0.02,6.3
971,Jammu and Kashmir Bank Apps,0.01,2.4
972,Bandhan Bank Apps,0.01,3.1
973,Zomato,0.01,1.7
974,Dhanlaxmi Bank Apps,0.01,3.2
975,Bank of Maharashtra Apps,0.01,0.8
976,Others,0,11.8
977,Airtel Payments Bank Apps,10.66,761.51
978,Allahabad Bank Apps,0.03,8.33
979,Amazon Pay,50.56,5360.9
980,AU Small Finance Bank Apps,0.62,186.48
981,Axis Bank Apps,58.24,1976.67
982,Bajaj Finserv,6.7,965.35
983,Bajaj Finserv PPI,0.05,12.22
984,Bajaj Markets,0.01,0.35
985,Bandhan Bank Apps,0.01,1.5
986,Bank of America Apps,0.01,2.07
987,Bank of Baroda Apps,1.16,447.25
988,Bank of India Apps,0.23,71.14
989,Bank of Maharashtra Apps,0.06,21.29
990,BHIM,23.68,7498.24
991,Canara Bank Apps,1.39,374.43
992,Central Bank of India Apps,0.36,83.56
993,Citi Bank Apps,0.12,67.55
994,City Union Bank Apps,0.06,18.93
995,Cointab,0.04,19.07
996,Cred,42.84,21056.31
997,DBS Digibank Apps,0.41,177.88
998,Deutsche Bank Apps,1.73,187.11
999,Dhanlaxmi Bank Apps,0.01,3.21
1000,Equitas Small Finance Bank Apps,0.02,13.57
1001,Eroute,0.27,19.25
1002,Fampay PPI,9.49,124.59
1003,Fave,0.08,6.4
1004,Federal Bank Apps,5.25,648.51
1005,Fino Payments bank Apps,0.13,8.18
1006,Google Pay,3054.44,482896.69
1007,Groww,0.18,137.64
1008,HDFC Bank Apps,14.22,3644.88
1009,HSBC Bank Apps,0.14,89.71
1010,ICICI Bank Apps,41.59,17624.14
1011,IDBI Bank Apps,0.07,32.38
1012,IDFC Bank Apps,14.02,3306.18
1013,India Post Payments Bank Apps,4.44,667.69
1014,Indian Bank Apps,0.26,92.41
1015,Indian Overseas Bank Apps,0.02,4.47
1016,IndusInd Bank Apps,0.93,950.35
1017,Janata Sahakari Bank Apps,0.01,3.74
1018,Jio Payments Bank Apps,1.68,118.72
1019,Jupiter,2.66,358.12
1020,Karnataka Bank Apps,0.42,91.53
1021,Karur Vysya Bank Apps,0.04,15.84
1022,Kotak Mahindra Bank Apps,13.77,2854.65
1023,LivQuick PPI,0.01,0.64
1024,MakeMyTrip,0.05,23.5
1025,Mobikwik,3.64,937.98
1026,NSDL Payments Bank Apps,0.03,3.47
1027,Paytm Payments Bank App,1288.38,154430.4
1028,PhonePe,4076.32,707410.47
1029,Punjab National Bank Apps,0.43,110.59
1030,Punjab Sind Bank Apps,0.04,13.74
1031,RBL Bank Apps,1.88,545.98
1032,Samsung Pay,5.68,528.09
1033,South Indian Bank Apps,0.22,66.08
1034,Standard Chartered Bank Apps,0.15,94.14
1035,State Bank of India Apps,4.36,2011.65
1036,Tamilnad Mercantile Bank Apps,0.07,12.42
1037,TataNeu,0.12,15
1038,Transerv PPI,0.06,8.11
1039,UCO Bank Apps,0.36,116.66
1040,Ultracash,0.04,2.61
1041,Union Bank Apps,0.75,310.24
1042,Utkarsh Small Finance Bank Apps,0.02,6.35
1043,WhatsApp,13.35,1144.76
1044,Yes Bank Apps,31.47,10093.9
1045,Others,0.02,5.18
1046,Airtel Payments Bank Apps,9.17,627.17
1047,Allahabad Bank Apps,0.03,8.87
1048,Amazon Pay,57.08,5772.68
1049,AU Small Finance Bank Apps,0.65,193.87
1050,Axis Bank Apps,47.38,1916.44
1051,Bajaj Finserv,9.12,1189.82
1052,Bank of Baroda Apps,1.11,412.03
1053,Bank of India Apps,0.22,69.87
1054,BHIM,22.96,7209.87
1055,BPAYWALLET,0.06,9.65
1056,Canara Bank Apps,1.48,431.27
1057,Central Bank of India Apps,0.43,95.58
1058,Citi Bank Apps,0.09,55.38
1059,City Union Bank Apps,0.06,20.02
1060,Cointab,0.01,4.24
1061,Cred,61.04,23426.74
1062,DBS Digibank Apps,0.42,174.75
1063,Deutsche Bank Apps,1.89,174.27
1064,DHANI,0.04,7.55
1065,Dhanlaxmi Bank Apps,0.01,2.93
1066,Equitas Small Finance Bank Apps,0.03,16.31
1067,FAM,13.78,166.5
1068,Fave,0.02,1.68
1069,Federal Bank Apps,5.12,643.62
1070,Fino Payments bank Apps,0.09,6.6
1071,Google Pay,3274.69,497748.17
1072,Groww,0.47,287.97
1073,HDFC Bank Apps,16.07,3982.69
1074,HSBC Bank Apps,0.14,87.5
1075,ICICI Bank Apps,43.92,17101.09
1076,IDBI Bank Apps,0.08,34.64
1077,IDFC Bank Apps,8.56,1696.01
1078,India Post Payments Bank Apps,5.04,775.77
1079,Indian Bank Apps,0.28,84.07
1080,Indian Overseas Bank Apps,0.04,10.5
1081,IndusInd Bank Apps,0.81,886.1
1082,Jammu and Kashmir Bank Apps,0.01,2
1083,Jio Payments Bank Apps,1.56,119.8
1084,Jupiter,2.94,415.04
1085,Akudo & Muvin (Livquik),0.18,6.62
1086,Karnataka Bank Apps,0.63,127.13
1087,Karur Vysya Bank Apps,0.04,13.65
1088,Kotak Mahindra Bank Apps,16.31,3139.05
1089,MakeMyTrip,0.02,8.01
1090,Mobikwik,3.59,997.92
1091,NSDL Payments Bank Apps,0.02,3.28
1092,OMNI,0.39,10.1
1093,Paytm Payments Bank App,1342.28,164843.79
1094,PhonePe,4499.2,757276.68
1095,PINELABS,0.06,3.25
1096,Punjab National Bank Apps,1.1,177.69
1097,Punjab Sind Bank Apps,0.04,13.71
1098,RBL Bank Apps,1.24,489.36
1099,RBLBANK,0.01,0.06
1100,Samsung Pay,5.83,535.16
1101,slice,0.83,194.68
1102,South Indian Bank Apps,0.25,71.46
1103,Standard Chartered Bank Apps,0.15,91.48
1104,State Bank of India Apps,4.48,1969.95
1105,Tamilnad Mercantile Bank Apps,0.07,14.83
1106,TataNeu,0.15,19.28
1107,UCO Bank Apps,0.36,118.26
1108,Ultracash,0.01,1.13
1109,Union Bank Apps,0.76,306.93
1110,Utkarsh Small Finance Bank Apps,0.02,6.81
1111,WhatsApp,15.98,1477.06
1112,Yes Bank Apps,42.65,13006.24
1113,Zomato,0.01,0.43
1114,Others,0.03,10.98
