,Application_Name,Total_Volume_Mn,Total_Value_Cr
65,Jammu and Kashmir Bank Apps,0.01,2.8
66,DIGIKHATA,0.01,3.81
67,ZOICICI,0.01,1
68,Dhanlaxmi Bank Apps,0.01,3.02
69,GoIbibo,0.01,2.99
70,SURYODAY,0.01,0.03
71,Bandhan Bank Apps,0.01,0.87
72,Others,0.03,8.46
0,Airtel Payments Bank Apps,15.12,5732.09
1,Allahabad Bank App,0.02,7.43
2,Amazon Pay,76.18,6641.62
3,AU Small Finance Bank App,0.21,76.22
4,Axis Bank Apps,59.85,957.37
5,Bajaj Finserv,0.13,7.08
6,Bank of Baroda Apps,0.75,333.91
7,Bank of India App,0.04,17.26
8,Bank of Maharashtra App,0.05,11.52
9,BHIM,27.12,8831.67
10,Canara Bank App,0.25,90.72
11,Central Bank of India App,0.13,46.47
12,Citi Bank App,0.09,76.94
13,City Union Bank App,0.01,4.61
14,Cointab,0.94,144.16
15,Cred,10.36,13817.16
16,DBS Digibank App,0.55,190.75
17,Dena Bank App,0.02,26.08
18,Deutsche Bank App,0.85,86.2
19,Dhanlaxmi Bank App,0.01,3.07
20,Federal Bank App,0.48,99.96
21,Fino Payments bank App,0.03,2.09
22,Finshell Pay,0.06,2.92
23,Google Pay,1587.43,302989.79
24,HDFC Bank Apps,4.96,1250.74
25,HSBC Bank App,0.09,53.73
26,ICICI Bank Apps,31.99,8921.76
27,IDBI Bank App,0.02,11.34
28,IDFC Bank App,0.9,278.53
29,India Post Payments Bank App,2.76,321.16
30,Indian Bank App,0.12,42.71
31,IndusInd Bank App,1.19,1269.16
32,Jammu and Kashmir Bank App,0.01,1.93
33,Janta Sahakari Bank App,0.01,4.48
34,Jio Payments Bank App,1.65,100.19
35,Jupiter Money,0.98,177.92
36,Karnataka Bank App,0.25,30.03
37,Karur Vysya Bank App,0.04,17.44
38,Kotak Mahindra Bank Apps,6.39,1168.93
39,MakeMy Trip,0.07,22.3
40,MI Pay,0.31,43.97
41,Mobikwik,4.24,985.86
42,NSDL Payments Bank App,0.01,1.31
43,Paytm Payments Bank App,706.37,88094.49
44,PhonePe,2077.6,394565.58
45,Punjab National Bank App,0.07,33.76
46,RBL Bank App,0.35,102.17
47,Samsung Pay,3.21,436.3
48,South Indian Bank App,0.13,39.92
49,Standard Chartered Bank App,0.1,60.26
50,State Bank of India Apps,3.63,1961.72
51,UCO Bank App,0.14,33.49
52,Ultracash,1.96,178.99
53,Union Bank Apps,0.36,167.6
54,WhatsApp,2.25,188.78
55,Yes Bank Apps,25.14,5689.75
56,YuvaPay,0.05,78.43
57,Others,0.02,8.74
0,Airtel Payments Bank Apps,8.7,681.67
1,Allahabad Bank Apps,0.03,9.75
2,Amazon Pay,69.61,6621.66
3,AU Small Finance Bank Apps,0.58,177.47
4,Axis Bank Apps,65.56,1305.09
5,Bajaj Finserv,4.56,647.71
6,Bandhan Bank Apps,0.01,1.53
7,Bank of Baroda Apps,1.02,397.56
8,Bank of India Apps,0.22,64.32
9,Bank of Maharashtra Apps,0.08,19.91
10,BHIM,25.5,8400.04
11,Canara Bank Apps,1.02,275.7
12,Central Bank of India Apps,0.26,60.32
13,Citi Bank Apps,0.09,68.38
14,City Union Bank Apps,0.05,14.38
15,Cointab,0.05,18.98
16,Cred,31.42,19622.29
17,DBS Digibank Apps,0.41,171.59
18,Deutsche Bank Apps,1.28,104.49
19,Dhanlaxmi Bank Apps,0.01,3.16
20,Equitas Small Finance Bank Apps,0.02,11.69
21,Fampay PPI,9.7,127.19
22,Fave,0.08,5.01
23,Federal Bank Apps,4.57,595.18
24,Fino Payments bank Apps,0.11,7.49
25,Google Pay,2712.34,440370.99
26,Groww,0.21,153.02
27,HDFC Bank Apps,11.81,3143.24
28,HSBC Bank Apps,0.15,78.63
29,ICICI Bank Apps,48.29,16125.15
30,IDBI Bank Apps,0.07,29.5
31,IDFC Bank Apps,9.7,1322.98
32,India Post Payments Bank Apps,5.55,682.59
33,Indian Bank Apps,0.25,73.71
34,Indian Overseas Bank Apps,0.01,2.9
35,IndusInd Bank Apps,1.26,1062.4
36,Janata Sahakari Bank Apps,0.01,4.58
37,Jio Payments Bank Apps,1.48,104.71
38,Jupiter,2.53,318.03
39,Karnataka Bank Apps,0.48,91.09
40,Karur Vysya Bank Apps,0.04,14.87
41,Kotak Mahindra Bank Apps,11.53,2480.18
42,MakeMyTrip,0.1,52.3
43,Mobikwik,3.62,806.82
44,NSDL Payments Bank Apps,0.02,2.95
45,Paytm Payments Bank App,1170.34,138821.66
46,PhonePe,3674.24,639348.78
47,Punjab National Bank Apps,0.22,76.7
48,Punjab Sind Bank Apps,0.03,10.48
49,RBL Bank Apps,1.1,215.3
50,Samsung Pay,5.49,531.12
51,Slash,0.01,0.79
52,Slice,0.15,15.74
53,South Indian Bank Apps,0.18,53.2
54,Standard Chartered Bank Apps,0.16,90.42
55,State Bank of India Apps,4.22,1928.43
56,Tamilnad Mercantile Bank Apps,0.08,12.13
57,TataNeu,0.15,17.64
58,UCO Bank Apps,0.31,93.32
59,Ultracash,0.03,1.65
60,Union Bank Apps,0.92,310.63
61,Utkarsh Small Finance Bank Apps,0.02,7.81
62,WhatsApp,11.05,917.49
63,Yes Bank Apps,36.16,13415.46
64,Others,0.03,7.64
0,Airtel Payments Bank Apps,7.58,2210.17
1,Allahabad Bank App,0.02,6.28
2,Amazon Pay,63.49,6044.47
3,AU Small Finance Bank App,0.25,89.36
4,Axis Bank Apps,54.78,1405.26
5,Bajaj Finserv,0.33,19.32
6,Bank of Baroda Apps,0.67,330.69
7,Bank of India App,0.05,21.28
8,Bank of Maharashtra App,0.05,12.49
9,BHIM,23.25,7891.86
10,Canara Bank App,0.26,95.78
11,Central Bank of India App,0.12,45.26
12,Citi Bank App,0.08,69.22
13,City Union Bank App,0.02,5.49
14,Cointab,1.73,280.57
15,Cred,10.08,13364.09
16,DBS Digibank App,0.46,173.63
17,Dena Bank App,0.02,23.93
18,Deutsche Bank App,0.87,70.43
19,Dhanlaxmi Bank App,0.01,2.83
20,Federal Bank App,0.55,108.21
