,Application_Name,Total_Volume_Mn,Total_Value_Cr
36,Karur Vysya Bank App,0.03,14.14
37,Kotak Mahindra Bank Apps,4.31,771.05
38,MakeMy Trip,0.08,25.67
39,MI Pay,0.36,51.29
40,Mobikwik,3.2,687.94
41,NSDL Payments Bank App,0.01,0.84
42,Paytm Payments Bank App,543.55,61417.53
43,PhonePe,1653.19,306437.37
44,Punjab National Bank App,0.07,25.07
45,Punjab Sindh Bank App,0.01,2.7
46,RBL Bank App,0.17,65.95
47,Samsung Pay,2.37,371.1
48,South Indian Bank App,0.09,31.18
49,Standard Chartered Bank App,0.08,45.86
50,State Bank of India Apps,3.77,1874.58
51,UCO Bank App,0.1,23.44
52,Ultracash,2.02,163.57
53,Union Bank Apps,0.41,155.2
54,WhatsApp,1.01,62.31
55,Yes Bank Apps,23.03,4994.33
56,YuvaPay,0.04,46.94
57,Other Apps,0.03,11.75
